Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       09/08/23
Time:       17:20
Revision:   51216de7b9183a2c24a5760536f8bc67d05ebefc
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)"
"C53","33 µF","TopLayer","CAP_POL_2917_7343","Molded Capacitor, 2-Leads, Body 7.30x4.30mm, IPC Medium Density","143.4846","23.1250","90","CAP TANT 33UF 20% 35V 2917","Standard","4.3000"
"C52","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","139.9750","22.5750","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C51","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","136.1250","22.5750","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C50","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","134.9765","15.2358","90","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C47","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","138.0500","22.5836","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C45","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","133.0015","15.2358","90","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C43","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","136.9515","15.2480","90","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C42","10000 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","131.2368","16.2560","90","CAP CER 10000PF 50V NP0 0603","Standard","0.8900"
"C41","150 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","134.9750","30.9500","360","CAP CER 150PF 50V C0G/NPO 0603","Standard","0.8900"
"C40","0.033 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","104.4448","15.8883","90","CAP CER 0.033UF 50V X7R 0603","Standard","0.8900"
"C39","0.033 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","99.9416","15.9110","90","CAP CER 0.033UF 50V X7R 0603","Standard","0.8900"
"C37","10000 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","102.2000","16.5686","180","CAP CER 10000PF 50V NP0 0603","Standard","0.8900"
"C36","0.047 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","124.6886","17.0434","270","CAP CER 0.047UF 25V X7R 0603","Standard","0.8900"
"C35","0.047 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","119.3038","18.2880","270","CAP CER 0.047UF 25V X7R 0603","Standard","0.8900"
"C34","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","106.6800","18.8312","360","CAP CER 10000PF 25V X5R 0402","Standard","0.5200"
"C33","1000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","106.6742","19.9202","360","CAP CER 1000PF 50V NP0 0402","Standard","0.5200"
"C32","33 µF","TopLayer","CAP_POL_2917_7343","Molded Capacitor, 2-Leads, Body 7.30x4.30mm, IPC Medium Density","90.5764","23.1340","180","CAP TANT 33UF 20% 35V 2917","Standard","4.3000"
"C31","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","94.8357","27.1836","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C29","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","96.8464","27.1836","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C28","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","98.8571","27.1836","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C27","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","100.8679","27.1836","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C26","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","92.8553","27.2125","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C25","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","102.8501","27.1722","270","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C17","0.1 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","145.9374","14.7250","360","CAP CER 0.1UF 50V X7R 0603","Standard","0.8900"
"C16","33 µF","TopLayer","CAP_POL_2917_7343","Molded Capacitor, 2-Leads, Body 7.30x4.30mm, IPC Medium Density","148.5900","23.1249","90","CAP TANT 33UF 20% 35V 2917","Standard","4.3000"
"C15","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","149.4615","14.4114","180","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C14","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","149.4615","12.3864","180","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"C18","100 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","111.6445","12.2750","360","CAP CER 100PF 50V C0G/NP0 0603","Standard","0.8900"
"C21","100 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","116.0750","12.3780","360","CAP CER 100PF 50V C0G/NP0 0603","Standard","0.8900"
"C20","100 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","119.0750","11.2650","0","CAP CER 100PF 50V C0G/NP0 0603","Standard","0.8900"
"C23","1 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","116.0750","13.9446","360","CAP CER 1UF 35V X7R 0603","Standard","0.8900"
"C22","2.2 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","122.5155","18.6868","270","CAP CER 2.2UF 35V X5R 0603","Standard","0.8900"
"C12","15 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","128.3650","15.8632","180","CAP CER 15PF 50V C0G/NP0 0402","Standard","0.5200"
"C11","680 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","129.4100","14.6882","180","CAP CER 680PF 50V NP0 0402","Standard","0.5200"
"C10","4700 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","129.4098","13.4646","180","CAP CER 4700PF 50V X7R 0402","Standard","0.5200"
"C9","33 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","128.3650","12.2896","180","CAP CER 33PF 50V CH 0402","Standard","0.5200"
"L2","74437324022","TopLayer","IND_74437324022","","87.1982","12.7000","360","LHMI Inductor 4020 2.2uH 5.0A 27.0mOhm","Standard","0.0000"
"R10","1 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","49.8064","13.1350","180","RES SMD 1K OHM 5% 1/16W 0402","Standard","0.4000"
"IC1","DMN67D8L-7","TopLayer","DIODES_SOT-23-3","SOT23, 3-Leads, Body 2.90x2.40mm, Pitch 0.95mm, IPC Medium Density","45.5278","13.1350","90","MOSFET N-CH 60V 210MA SOT23","Standard","1.3500"
"IC2","CP2102N-A02-GQFN28R","TopLayer","SILICON_LABS_QFN-28_5x5MM","QFN, 28-Leads, Body 5.00x5.00mm, Pitch 0.50mm, Thermal Pad 3.35x3.35mm, IPC Medium Density","50.0096","16.7418","360","IC USB TO UART BRIDGE QFN28","Standard","0.8000"
"D1","White","BottomLayer","LED_0805_2012","Chip Diode, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","23.5220","13.7380","360","0805 LED WHITE, YELLOW DIFFUSED","Standard","0.7000"
"D2","White","BottomLayer","LED_0805_2012","Chip Diode, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","23.5220","26.4630","360","0805 LED WHITE, YELLOW DIFFUSED","Standard","0.7000"
"C1","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","52.9534","23.4310","90","CAP CER 0.1UF 10V X5R 0402","Standard","0.5200"
"C8","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","45.2566","19.1904","90","CAP, MLCC, 0402/1005, 10V, X7R,","Standard","0.5200"
"C7","1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","46.3238","19.1904","90","CAP CER 1UF 10V X5R 0402","Standard","0.5200"
"C6","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","47.2588","29.8573","270","CAP CER 0.1UF 10V X5R 0402","Standard","0.5200"
"C5","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","48.4018","29.8573","270","CAP CER 0.1UF 10V X5R 0402","Standard","0.5200"
"C4","4.7 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","49.5448","29.8573","270","CAP CER 4.7UF 10V X5R 0402","Standard","0.5200"
"C3","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","45.8838","16.6564","360","CAP CER 0.1UF 10V X5R 0402","Standard","0.5200"
"C2","4.7 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","45.8838","15.5134","360","CAP CER 4.7UF 10V X5R 0402","Standard","0.5200"
"R11","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","43.6500","17.0420","360","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
